vertical,target,city_state,metro,website,decision_maker,dm_title,contact_path,size_signal,public_pain_signal,score,warm_or_cold,best_channel,pain_monthly_est,pain_summary,ai_fix,status,source_url
accounting,"Hemingway & Buchanan, CPA, PC","Austin, TX",Austin,austinaccountingservices.com,"Jeanine Hemingway, CPA [verify]",Owner / President,Website contact form / main line (see site),"Owner-led 2-CPA firm (Hemingway + Buchanan), serving Austin since 2001, single office",Small-business bookkeeping + tax book = hard seasonal call spike on a tiny front office,89,cold,Loom email + phone,"$1,500-$4,000 (est.)","Tax-season call spikes overflow a thin desk -> lost retained clients ($1,500-$5,000/yr each); PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://www.austinaccountingservices.com/
accounting,"Millan & Co., P.C.","Austin, TX",Austin,millancpa.com,Richard Millan [verify],Founder / President,Website contact form / main line (see site),"Independent PC founded 1985; small family team (founder, tax manager, firm admin)",40-yr client base = deep recurring + seasonal call volume into a small office,86,cold,Loom email + phone,"$2,000-$5,000 (est.)","Tax-season call spikes overflow a thin desk -> lost retained clients ($1,500-$5,000/yr each); PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://millancpa.com/about-us
accounting,"Tanya L. Stokes, CPA","Austin, TX",Austin,cpa-in-austin.com,"Tanya L. Stokes, CPA",Owner,Website contact form / main line (see site),"Solo owner-CPA since 2005, single office (W 34th St)",Solo CPA = line goes unanswered while she is with clients; bookkeeping + tax planning mix,90,cold,Loom email + phone,"$1,000-$3,000 (est.)","Missed calls while solo owner is heads-down (worst Jan-Apr) -> lost retained clients; doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://www.cpa-in-austin.com/
accounting,"Timothy R. Rossmiller, CPA, PC","Austin, TX",Austin,rossmillercpa.com,"Timothy Rossmiller, CPA [verify]",Founder / Owner,Website contact form / main line (see site),"Solo-practitioner PC, 20+ yrs, single office (Research Blvd)",Tax-prep + IRS-controversy practice = extreme Jan-Apr call spike on one line,88,cold,Loom email + phone,"$1,000-$3,000 (est.)","Tax-season call spikes overflow a solo line -> lost retained clients; onboarding/organizer doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://www.rossmillercpa.com/
accounting,Hansen CPA,"Denver, CO",Denver,hansencpa.com,"Josh T. Hansen, CPA [verify]",Founder / Owner,Website contact form / main line (see site),"Boutique owner-led firm; independent BDO Alliance member (not a chain), single office",Small/mid-business tax + advisory clients nationwide on a boutique front office,85,cold,Loom email + phone,"$2,000-$5,000 (est.)","Tax-season call spikes overflow a thin desk -> lost retained clients ($1,500-$5,000/yr each); PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://www.hansencpa.com/about
accounting,Matthew P. Schlanger CPA,"Highlands Ranch, CO",Denver,cpaschlanger.com,"Matthew Schlanger, CPA",Owner,Website contact form / main line (see site),"Solo owner-CPA; bookkeeping, payroll, QuickBooks + tax for startups/small biz",Solo owner owns the phone AND the books; RamseyTrusted visibility drives inbound calls,89,cold,Loom email + phone,"$1,000-$3,000 (est.)","Missed calls while solo owner works client books (worst Jan-Apr) -> lost retained clients; doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://cpaschlanger.com/
accounting,SBA CPA,"Denver, CO",Denver,thesbacpa.com,Dmitri Galcovski [verify],President / Owner,Website contact form / main line (see site),"Independent small team (CPAs + EAs + consultants) since 2013, single office",Full-service small-biz book = recurring + seasonal call load; 95% retention shows client value,84,cold,Loom email + phone,"$1,500-$4,500 (est.)","Tax-season call spikes overflow a thin desk -> lost retained clients ($1,500-$5,000/yr each); PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://thesbacpa.com/our-team/
accounting,"John P. Morse, CPA, LLC","Denver, CO",Denver,cpamorse.com,"John Morse, CPA [verify]",Owner,Website contact form / main line (see site),Owner-led LLC; monthly bookkeeping + payroll + tax for small professional firms,Recurring monthly-close clients call one small office; owner is the senior everything,86,cold,Loom email + phone,"$1,000-$3,000 (est.)","Missed calls while owner is in client work (worst Jan-Apr) -> lost retained clients; PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://www.cpamorse.com/
accounting,"Evan Hutcheson, CPA, LLC","Nashville, TN",Nashville,evanhcpa.com,"Evan Hutcheson, CPA",Founder / Sole Member,Website contact form / main line (see site),"True solo (sole member) since 2012, single office (Belmont Blvd)",Solo CPA doing tax + bookkeeping + payroll = phone dies during client work and tax season,90,cold,Loom email + phone,"$1,000-$3,000 (est.)","Missed calls while solo owner is heads-down (worst Jan-Apr) -> lost retained clients ($1,500-$5,000/yr each); doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://www.evanhcpa.com/about/
accounting,"Dodd, Drennan & Associates, PLLC","Nashville, TN (Music Row)",Nashville,mikedoddcpa.com,"Mike Dodd, CPA [verify]",Owner / Partner,Website contact form / main line (see site),"Small owner-named PLLC, single Music Row office",Business + entertainment tax niche = seasonal spikes and deadline-driven call bursts,86,cold,Loom email + phone,"$1,500-$4,000 (est.)","Tax-season call spikes overflow a thin desk -> lost retained clients ($1,500-$5,000/yr each); PBC doc chase ~2-5 hrs/client; benchmark est., confirm on call","AI front desk: answers 24/7 (no tax advice), qualifies + books consults, chases onboarding docs; live on their number <=7 days",PROCEED,https://www.mikedoddcpa.com/about.php
