target,city_state,metro,website,decision_maker,dm_title,contact_path,size_signal,public_pain_signal,score,warm_or_cold,best_channel,pain_monthly_est,pain_summary,ai_fix,status,source_url
"Baemayr Realty Group (Bae Realty)","Austin, TX","Austin","baerealty.com","Eric Baemayr [verify]","Managing Broker / Owner","Website contact form / main line (see site)","Independent boutique brokerage (own shop, small team incl. VP roles + transaction coordinators)","Home-valuation seller funnel at /home-valuation + dedicated FB business page; active paid social spend [verify via Ad Library]",88,"cold","Loom email + SMS + phone","$4,000-$12,000 (est.)","Owner-broker drives paid seller/buyer leads into a valuation funnel but solo-owns the phone -> after-hours/showing-time leads ring out; benchmark est., confirm on call","AI front desk: answers 24/7 on their number, qualifies budget/timeline/financing + books showings; intake & scheduling only -> never screens/steers on protected classes (Fair Housing), no pricing/legal advice; live <=7 days","PROCEED","https://baerealty.com/home-valuation"
"Ashley Jackson | Mueller Residential Group","Austin, TX","Austin","ashleyjacksonrealtor.com","Ashley Jackson","Principal Realtor / Team Lead","Website contact form / home-valuation form","Small team (2-5 agents; ABoR 2026 Team of the Year, 2-5 Agent category); 300+ homes sold, top 2.5%","Instant home-valuation lead capture at /home-valuation; personal-brand site = paid Google/Meta funnel destination; active spend [verify via Ad Library]",87,"cold","Loom email + SMS + phone","$4,000-$11,000 (est.)","Small team-lead owns the marketing budget; paid valuation leads arrive while she/team are in showings -> slow callback bleeds buy-side commission; est., confirm on call","AI front desk: 24/7 answer + qualify (budget/timeline/financing) + book showings on their number; intake/scheduling only, no Fair-Housing screening, no pricing/legal advice; live <=7 days","PROCEED","https://ashleyjacksonrealtor.com/home-valuation"
"Darsh Parikh & Team","Austin, TX","Austin","austinrealestatedarsh.com","Darsh Parikh","Realtor / Team Lead (Compass Austin)","Website contact form / main line","Small personal-brand team ('Darsh Parikh & Team'); ABJ #10 individual agent 2025","Home-valuation lead funnel at /home-valuation + new-construction/luxury landing pages; personal-brand paid-search/social funnel; active spend [verify via Ad Library]",83,"cold","Loom email + SMS + phone","$5,000-$13,000 (est.)","Runs his own branded funnel + budget despite Compass affiliation; luxury/new-construction leads are high-value and time-sensitive -> a missed call = a lost high-commission deal; est., confirm on call","AI front desk: answers + qualifies + books consults 24/7 on his line; intake/scheduling only, never screens/steers on protected classes (Fair Housing), no pricing/legal advice; live <=7 days","PROCEED","https://austinrealestatedarsh.com/home-valuation"
"Denver Realty LLC (Peter Hauben)","Denver, CO","Denver","denverrealtyco.com","Peter Hauben","Principal Broker / Owner","Website contact form / instant home-value form","Solo broker-owner / listing specialist; 125+ homes, $66M volume, certified digital marketer","Instant home-value report funnel + 'instant offer' landing page; site states he 'spends a hefty amount' putting listings in front of buyers (= his own paid ad budget); active spend [verify via Ad Library]",92,"cold","Loom email + SMS + phone","$5,000-$14,000 (est.)","Solo broker-owner self-funds paid listing/buyer promotion but is the only person on the phone -> leads from his own ad spend ring out while he's with clients; est., confirm on call","AI front desk: 24/7 answer + qualify + book listing consults on his number; pure intake/scheduling, no Fair-Housing screening, no pricing/offer/legal advice; live <=7 days","PROCEED","https://denverrealtyco.com/about/"
"Camber Realty","Denver, CO","Denver","camberrealty.com","Mark & Lisa Cramer","Founders / Broker-Owners","Website contact form / IDX home search","Independent, locally-owned brokerage (husband-wife owned, small team); 850+ transactions, 5280 Top Producer","IDX lead-gen site with home search/valuation; independent shop with 'no corporate mandates' = owners control the ad budget; active spend [verify via Ad Library]",85,"cold","Loom email + SMS + phone","$4,000-$11,000 (est.)","Owner-operated independent brokerage routes IDX/seller leads to a small team -> after-hours web leads (their own spend) hit voicemail; est., confirm on call","AI front desk: 24/7 capture + qualify (budget/timeline/financing) + book showings; intake/scheduling only, never screens on protected classes (Fair Housing), no pricing/legal advice; live <=7 days","PROCEED","https://www.camberrealty.com/about-us/"
"Live.Laugh.Denver. Real Estate Group","Denver, CO","Denver","livelaughdenver.com","Lindsey Benton","Broker / Owner","Website contact form / investor-guide lead form","Boutique broker-owned team (est. 2015); owner has advertising degree (UIUC), DBJ 40-Under-40","Investor's-guide lead magnet + IDX funnel; active FB + IG (@lindsey__benton, 3.5K); marketing-led brand = paid-social funnel; active spend [verify via Ad Library]",86,"cold","Loom email + SMS + phone","$3,000-$10,000 (est.)","Marketing-savvy broker-owner drives paid social + investor-guide leads but team-lead owns the phone -> speed-to-lead gaps leak the spend; est., confirm on call","AI front desk: answers + qualifies + books 24/7 on their line; intake/scheduling only, no Fair-Housing screening, no pricing/legal advice; live <=7 days","PROCEED","https://livelaughdenver.com/investors-guide"
"Sam Gray Real Estate","Nashville, TN","Nashville","samgrayrealestate.com","Sam Gray","Affiliate Broker (Compass) / Solo personal brand","Website contact form / home-valuation form","Solo agent / personal brand; new-development & luxury-condo specialist","Home-valuation lead tool; active IG (@samgrayrealestate) + FB; media-featured personal brand = paid social/search funnel; active spend [verify via Ad Library]",88,"cold","Loom email + SMS + phone","$5,000-$13,000 (est.)","Solo personal-brand agent funds his own social/search leads; luxury/new-dev inquiries are high-value and ring straight to him -> missed call = lost high-commission deal; est., confirm on call","AI front desk: 24/7 answer + qualify + book consults on his number; intake/scheduling only, never screens/steers on protected classes (Fair Housing), no pricing/legal advice; live <=7 days","PROCEED","https://samgrayrealestate.com/about"
"Grace Clayton Group","Nashville, TN","Nashville","graceclaytongroup.evrealestate.com","Grace Clayton","Team Lead / Realtor (Engel & Volkers)","Website contact form / main line","Small team (~3 agents under E&V Nashville); 20+ yrs experience","Property-valuation lead capture on site; active IG (~3K) brand presence = paid-social funnel destination; active spend [verify via Ad Library]",82,"cold","Loom email + SMS + phone","$4,000-$11,000 (est.)","Small luxury team-lead owns the brand/budget; valuation + social leads come in after hours while she's with clients -> slow callback leaks spend; est., confirm on call","AI front desk: 24/7 capture + qualify + book; intake/scheduling only, no Fair-Housing screening, no pricing/legal advice; live <=7 days","PROCEED","https://graceclaytongroup.evrealestate.com/"
"Real Grow Team","Nashville, TN","Nashville","realgrowteam.com","David Goodman [verify]","Team Lead / Realtor","Website contact form / main line","Small team (3 agents: Goodman, Blankenship, Schroeder); investor/house-hacking & STR niche","Niche investor/house-hacking lead funnel + IDX; content-marketing brand targeting investors = paid social/search funnel; active spend [verify via Ad Library]",84,"cold","Loom email + SMS + phone","$3,000-$10,000 (est.)","Small niche team chases time-sensitive investor/STR leads from paid content -> a slow response loses a deal to a faster agent; est., confirm on call","AI front desk: 24/7 answer + qualify (investor budget/timeline/financing) + book; intake/scheduling only, no Fair-Housing screening, no pricing/legal advice; live <=7 days","PROCEED","https://www.realgrowteam.com/about/"
"Joni Miller Homes","Nashville, TN","Nashville","jonimillerhomes.com [verify]","Joni Miller","Managing Broker (Onward) / Own brand","Website contact form / main line","Solo / own personal brand; ~40 transactions, $32.5M (2023)","Personal-brand site under own label with seller/valuation funnel; paid social/search funnel destination; active spend [verify via Ad Library]",81,"cold","Loom email + SMS + phone","$4,000-$11,000 (est.)","Builds her own brand + budget as a managing broker but personally fields inquiries -> after-hours leads from her spend ring out; est., confirm on call","AI front desk: 24/7 answer + qualify + book consults on her line; intake/scheduling only, never screens on protected classes (Fair Housing), no pricing/legal advice; live <=7 days","PROCEED","https://www.compass.com/agents/nashville-tn/27781/"
"Carolinas Home Real Estate","Charlotte, NC","Charlotte","carolinashomere.com","Greg Miller","Owner / Broker-in-Charge","Website contact form / main line","New small brokerage (launched 2025), broker-owner-led, NC & SC","IDX home-search/valuation lead-gen site; active FB; brand-new shop hungry for paid leads = funnel destination; active spend [verify via Ad Library]",87,"cold","Loom email + SMS + phone","$3,000-$9,000 (est.)","Brand-new broker-owner buying leads to ramp -> every missed call from his own spend is an outsized hit while he wears all hats; est., confirm on call","AI front desk: 24/7 answer + qualify + book showings on his line; intake/scheduling only, no Fair-Housing screening, no pricing/legal advice; live <=7 days","PROCEED","https://www.carolinashomere.com/about"
"Mackey Realty","Charlotte, NC","Charlotte","mackeyrealty.com","Heather Mackey","Founder / Owner / Broker-in-Charge","Website contact form / main line","Boutique brokerage, owner-led (~30 combined yrs)","IDX lead-gen site; active FB (personal + company page); 'tech-driven' boutique = paid social/search funnel; active spend [verify via Ad Library]",85,"cold","Loom email + SMS + phone","$3,000-$10,000 (est.)","Owner-broker runs a tech-driven boutique funnel but owns the phone -> after-hours web/social leads (her spend) hit voicemail; est., confirm on call","AI front desk: 24/7 capture + qualify (budget/timeline/financing) + book; intake/scheduling only, never screens/steers on protected classes (Fair Housing), no pricing/legal advice; live <=7 days","PROCEED","https://www.mackeyrealty.com/leadership-and-staff"
"Pridemore Properties (Scott Pridemore)","Charlotte, NC","Charlotte","pridemoreproperties.com","Scott Pridemore","Principal / Team Lead (Compass)","Website contact form / main line","Boutique team (2 Charlotte offices), owner-led; 28 yrs","Behavioral-marketing + smart-targeting social funnel (per site); home-valuation/seller funnel; active FB brand page; active spend [verify via Ad Library]",80,"cold","Loom email + SMS + phone","$4,000-$11,000 (est.)","Team-lead invests in targeted social/web marketing but the team owns the phone -> paid leads slip to voicemail at peak times; est., confirm on call","AI front desk: 24/7 answer + qualify + book showings; intake/scheduling only, no Fair-Housing screening, no pricing/legal advice; live <=7 days","PROCEED","https://pridemoreproperties.com/about-us"
"Tampa Bay Elite Homes","Tampa, FL","Tampa","tampabayelitehomes.com","Martha Hernandez","Broker / Owner","Website contact form / main line","Small broker-owned team (Hernandez + 1-2 agents); own brokerage LLC","Instant home-value seller funnel on site; active FB + IG (@tampaelitehomes); paid-traffic funnel destination; active spend [verify via Ad Library]",88,"cold","Loom email + SMS + phone","$4,000-$11,000 (est.)","Broker-owner self-funds seller-valuation leads but owns the phone -> after-hours leads ring out while she's with clients; est., confirm on call","AI front desk: 24/7 answer + qualify + book listing consults on her line; intake/scheduling only, never screens on protected classes (Fair Housing), no pricing/legal advice; live <=7 days","PROCEED","https://www.tampabayelitehomes.com/about/"
"Your Tampa Expert (Asad Shaikh)","Tampa, FL","Tampa","yourtampaexpert.com","Asad Shaikh","Broker / Owner","Website contact form / main line (see site)","Solo broker-owner / personal brand; 270+ closings, $100M+ volume","Personal-brand valuation/consult funnel; active FB + IG (@yourtampaexpert) with video; paid social funnel destination; active spend [verify via Ad Library]",89,"cold","Loom email + SMS + phone","$5,000-$13,000 (est.)","Solo broker-owner funds his own video/social leads and is the only line they hit -> a missed call is a lost high-value deal; est., confirm on call","AI front desk: 24/7 answer + qualify (budget/timeline/financing) + book on his number; intake/scheduling only, no Fair-Housing screening, no pricing/legal advice; live <=7 days","PROCEED","https://yourtampaexpert.com/"
"The Lewkowicz Group","Tampa, FL","Tampa","thelewkowiczgroup.com","Joe & Emeri Lewkowicz","Team Leads / Owners (Coldwell Banker)","Website contact form / main line","Small father-daughter team (+ small support); 900+ homes over the decade","Dedicated home-valuation funnel + selling/appraisal landing pages; active YouTube + FB + IG; paid funnel; active spend [verify via Ad Library]",84,"cold","Loom email + SMS + phone","$4,000-$11,000 (est.)","Small family team runs multiple seller funnels + content but the two principals own the phone -> peak-time leads slip to voicemail; est., confirm on call","AI front desk: 24/7 capture + qualify + book showings/consults; intake/scheduling only, never screens/steers on protected classes (Fair Housing), no pricing/legal advice; live <=7 days","PROCEED","https://thelewkowiczgroup.com/home-valuation-services-tampa-florida"
"Liz McDermott (AZ Dream Home Properties)","Phoenix, AZ","Phoenix","azdreamhomeproperties.com","Liz McDermott","Realtor (HomeSmart) / Solo brand","Website contact form / home-value form","Solo agent (independent under HomeSmart); top 1% AZ, MBA-marketing-led","Home-value funnel at /home-value/ PLUS per-neighborhood valuation landing pages = classic Google/Meta paid-lead structure; active spend [verify via Ad Library]",90,"cold","Loom email + SMS + phone","$5,000-$13,000 (est.)","Solo agent runs a sophisticated per-neighborhood paid-valuation funnel but is the only line -> her ad spend leaks every time a seller lead rings out; est., confirm on call","AI front desk: 24/7 answer + qualify + book listing consults on her number; intake/scheduling only, no Fair-Housing screening, no pricing/offer/legal advice; live <=7 days","PROCEED","https://www.azdreamhomeproperties.com/home-value/"
"Paul Welden (Buyers Agent Phoenix)","Phoenix, AZ","Phoenix","buyersagentphoenix.com","Paul Welden","Realtor / Exclusive Buyer's Agent (HomeSmart)","Website contact form / main line","Solo agent (buyer-only since ~2005); single-line operator","Extensive buyer lead-gen funnel network (HUD homes, pre-foreclosure/trustee database, per-city pages, first-time-buyer pages); active FB + IG; active spend [verify via Ad Library]",89,"cold","Loom email + SMS + phone","$4,000-$12,000 (est.)","Solo buyer's agent drives time-sensitive buyer leads (foreclosure/HUD) from his own spend -> a slow answer loses the buyer to a faster agent; est., confirm on call","AI front desk: 24/7 answer + qualify (budget/timeline/financing/pre-approval) + book showings; intake/scheduling only, never screens on protected classes (Fair Housing), no pricing/legal advice; live <=7 days","PROCEED","https://www.buyersagentphoenix.com/"
"Arizona Proper Real Estate","Phoenix, AZ","Phoenix","arizonaproperrealestate.com","Jorge L. Quijada","Managing Owner / Co-Founder","Website home-valuation form / main line","Small boutique brokerage (~13 agents per MLS), owner-operated luxury/lifestyle","Home-valuation seller funnel at /home-valuation; very active IG (~10K) + FB; paid social funnel; active spend [verify via Ad Library]",83,"cold","Loom email + SMS + phone","$4,000-$12,000 (est.)","Owner-led boutique drives paid luxury/social + valuation leads; no call-center -> high-value leads ring the owner/agents and slip after hours; est., confirm on call","AI front desk: 24/7 capture + qualify + book consults on their line; intake/scheduling only, never screens/steers on protected classes (Fair Housing), no pricing/legal advice; live <=7 days","PROCEED","https://arizonaproperrealestate.com/home-valuation"
