target,city_state,metro,website,decision_maker,dm_title,contact_path,size_signal,public_pain_signal,score,warm_or_cold,best_channel,pain_monthly_est,pain_summary,ai_fix,status,source_url
"Loewy Law Firm","Austin, TX","Austin","personalinjurylawyersaustintx.com","Adam Loewy","Founder / Owner Attorney","Website contact form / main line (see site)","Solo-led PI firm, founded 2005; deliberately small docket","PI intake is 24/7 and first-to-answer usually signs; small docket = small intake staff",92,"cold","Loom email + phone","$7,000-$25,000 (est.)","Missed/after-hours injury intake calls -> lost signed matters (signed matter $3,500+); benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://personalinjurylawyersaustintx.com/our-law-firm/"
"Bonilla Law Firm, PLLC","Austin, TX","Austin","bonillainjurylaw.com","Jonathan (Jon) Bonilla (+ Brad Bonilla)","Owner / Founding Attorney","Website contact form / main line (see site)","Locally owned, family-run PLLC; 2 primary attorneys, 35+ yrs","Family-run PI firm; injury calls land nights/weekends, no big intake team",90,"cold","Loom email + phone","$7,000-$25,000 (est.)","Missed/after-hours injury intake calls -> lost signed matters (signed matter $3,500+); benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://www.bonillainjurylaw.com/"
"Nielsen Law PLLC","Austin, TX","Austin","estateplanatx.com","Liz Nielsen","Founder / Owner Attorney","Website contact form / main line (see site)","Boutique estate-planning firm; board-certified founder","Consult-driven estate practice; small office line, business hours only",84,"cold","Loom email + phone","$3,500-$10,500 (est.)","Missed consult requests (after-hours/lunch/in-meeting) -> lost engagements; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://estateplanatx.com/"
"Scofield & Scofield, P.C.","Austin, TX","Austin","scofieldlawfirm.com","Frank Scofield (+ Janice Pierce)","Partner / Owner Attorney","Website contact form / main line (see site)","Two board-certified estate attorneys, 20+ yrs practicing together","Long-established 2-attorney estate firm; thin front office",82,"cold","Loom email + phone","$3,500-$10,500 (est.)","Missed consult requests (after-hours/lunch/in-meeting) -> lost engagements; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","http://www.scofieldlawfirm.com/austin-estate-planning-attorneys.html"
"McCoy Family Law, LLC","Denver, CO","Denver","mccoyfamilylawdenver.com","Colleen McCoy","Owner / Founding Attorney","Website contact form / main line (see site)","Solo owner-attorney family-law practice","Solo attorney in court/mediation = unanswered line; family-law callers shop fast",91,"cold","Loom email + phone","$7,000-$17,500 (est.)","Missed intake while in court/consults -> lost signed matters (signed matter $3,500+); benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://mccoyfamilylawdenver.com/"
"Hogan Omidi, P.C.","Denver, CO","Denver","hoganomidi.com","Kathleen A. Hogan","Founding Equity Partner","Website contact form / main line (see site)","Boutique family-law firm; individualized-caseload model (anti-volume)","High-stakes divorce consults gate revenue; boutique staffing on the phones",85,"cold","Loom email + phone","$7,000-$17,500 (est.)","Missed intake while in court/consults -> lost signed matters; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://www.hoganomidi.com/attorney/kathleen-a-hogan/"
"Orr Law Firm","Denver, CO","Denver","orrlaw.com","Rhidian Orr","Founder / Senior Partner","Website contact form / main line (see site)","DUI/criminal defense boutique; founder-led","DUI arrests happen nights/weekends; unanswered line -> caller retains next firm",88,"cold","Loom email + phone","$7,000-$17,500 (est.)","After-hours arrest/DUI calls unanswered -> lost retained matters (signed matter $3,500+); benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://www.orrlaw.com/"
"Babcock Tucker","Denver, CO","Denver","injurylawcolorado.com","R. Mack Babcock","Founder / Owner Attorney","Website contact form / main line (see site)","Small plaintiff-side PI/workers-comp firm; founder-led","Contingency PI intake = speed-to-lead decides who signs; small team",87,"cold","Loom email + phone","$7,000-$25,000 (est.)","Missed/after-hours injury intake calls -> lost signed matters; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://www.injurylawcolorado.com/"
"Mark Scruggs, Attorney at Law","Nashville, TN","Nashville","markscruggs.com","Mark Scruggs","Solo Practitioner / Owner","Website contact form / main line (see site)","True solo, 40+ yrs; works every case start-to-finish","Solo in court all day = dead line; criminal callers dial the next attorney",89,"cold","Loom email + phone","$7,000-$17,500 (est.)","Unanswered calls while solo attorney is in court -> lost retained matters (signed matter $3,500+); benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://www.markscruggs.com/"
"M. Don Himmelberg & Associates","Nashville, TN","Nashville","tncriminaldefensefirm.com","M. Don Himmelberg","Founder / Owner Attorney","Website contact form / main line (see site)","Small criminal-defense firm, founded 1992; ex-prosecutor founder","Criminal intake is urgent and after-hours by nature; small office",86,"cold","Loom email + phone","$7,000-$17,500 (est.)","After-hours arrest calls unanswered -> lost retained matters; benchmark est., confirm on call","AI intake line: answers 24/7, qualifies (no legal advice), books the consult; live on their number <=7 days","PROCEED","https://lawyers.justia.com/firm/m-don-himmelberg-associates-7217"
