DeShon Laraye Pullen PLC | DeShon Laraye Pullen | (602) 252-1968 | https://www.deshonpullenlaw.com | Phoenix | NOT_FOUND | NOT_FOUND | unknown | Solo/small boutique, Phoenix and Scottsdale offices, family law only, Certified Family Law Specialist | https://www.deshonpullenlaw.com, https://www.avvo.com/attorneys/85016-az-deshon-pullen-388729.html | Family law divorce custody mediation, owner is managing attorney, Avvo 10.0 superb noted, Yelp shows 14 reviews, Google count not confirmed
KEYTLaw LLC | Richard Keyt | (480) 664-7478 | https://www.keytlaw.com | Scottsdale | NOT_FOUND | NOT_FOUND | yes | 2-attorney father-son firm, 1 office, since 2001, wills trusts and LLCs | https://www.keytlaw.com, https://www.keytlaw.com/rck/ | Estate planning and LLC formation, owners are the two Keyt attorneys, online Make-an-Appointment scheduling with Zoom/in-office, firm claims 400+ five-star reviews
Westover Law Firm | Jesse Westover | (480) 284-4200 | https://westoverlawfirm.com | Mesa | 4.9 | 195 | yes | 2 attorneys plus 8 staff, 1 office, since 2008, immigration only | https://westoverlawfirm.com, https://westoverlawfirm.com/reviews/ | Immigration and nationality law, Google 4.9 with 195 reviews, founder is owner, Zoom consultations scheduled online
Sanchez Immigration Law Firm | Yasser F. Sanchez | (480) 275-2407 | https://sanchezimmigration.net | Mesa | 4.9 | 220 | unknown | Solo founder plus staff, since 2009, immigration only, 220+ five-star reviews | https://www.yelp.com/biz/law-offices-of-yasser-f-sanchez-mesa, https://sanchezimmigration.net | Immigration law, founder and managing member, 220+ Google/Facebook five-star reviews per firm, ratings source Google, consult by appointment
Oliverson Law PLLC | Derek Oliverson | (480) 582-3637 | https://oliversonlaw.com | Gilbert | 4.9 | 150 | unknown | 3 attorneys, since 2018, DUI and criminal defense, East Valley | https://oliversonlaw.com, https://www.bbb.org/us/az/gilbert/profile/criminal-lawyer/oliverson-law-pllc-1126-1000103512 | Criminal defense and DUI, founder is owner, Google 4.9 with 150 plus reviews, BBB A plus, free case review
Neeley Law Firm PLC | Kenneth L. Neeley | (480) 802-4647 | https://neeleylaw.com | Chandler | 5.0 | 280 | unknown | Small firm, 1 office, 20 plus years, bankruptcy and debt | https://neeleylaw.com, https://reviews.birdeye.com/neeley-law-firm-plc-148842284874761 | Bankruptcy and debt settlement, founder is owner, rating 5.0 with 280 reviews per Birdeye aggregating Google
The Peterson Law Firm | Stuart J. Peterson | (480) 509-7733 | https://thepetersonlawfirm.com | Tempe | 4.7 | 161 | unknown | Solo principal attorney, 1 office, family law and bankruptcy | https://thepetersonlawfirm.com, https://reviews.birdeye.com/the-peterson-law-firm-156222372640813 | Family law and consumer bankruptcy, principal handles all cases, 4.7 with 161 reviews per Birdeye, BBB A plus
Modern Law PLLC | Billie Tarascio | (480) 649-2905 | https://mymodernlaw.com | Mesa | NOT_FOUND | NOT_FOUND | yes | 5 plus attorneys, Mesa Scottsdale Peoria offices, since 2010, family law | https://mymodernlaw.com, https://www.yelp.com/biz/modern-law-mesa-3 | Divorce and family law plus estate planning, founder is owner, online booking scheduler on site, Yelp 74 reviews, Google ratings vary by office
Shaffer Family Law PC | Kelly M. Shaffer | (480) 470-3030 | https://shafferfamilylaw.com | Chandler | NOT_FOUND | NOT_FOUND | unknown | Solo owner, 1 office, since 1998, family law only | https://shafferfamilylaw.com, https://www.avvo.com/attorneys/85226-az-kelly-shaffer-344705.html | Family law divorce custody alimony, owner practices only family law, 20 plus years, ratings not numerically confirmed
Joan Bundy Law PLC | Joan M. Bundy | (480) 463-4600 | https://joanbundylaw.com | Chandler | 4.6 | 59 | unknown | Solo owner, 1 office, family law and divorce only | https://joanbundylaw.com, https://reviews.birdeye.com/joan-bundy-law-155665003075298 | Divorce and family law, founder and owner, 4.6 with 59 reviews per Birdeye, Avvo 10.0 superb
Dodge & Vega PLC | Benjamin Dodge | (480) 559-8252 | https://www.arizonafamilylawyers.org | Mesa | NOT_FOUND | NOT_FOUND | unknown | 2 founding partners plus staff, since 2006, family law and criminal | https://www.arizonafamilylawyers.org, https://dodgevegalaw.com | Family law divorce custody plus criminal and PI, senior managing partner is founder, 35 plus years combined, ratings not numerically confirmed
