target,stage,pain_monthly_est,next_action,owner
"Round Rock Eyes","loom+deck_ready","$3,000-$6,500","Send cold seq T1 w/ personalized Loom -> book (Agent 9)","PremierConnect AI"
"True Eye Care","loom+deck_ready","$2,500-$5,500","Send cold seq T1 w/ personalized Loom -> book (Agent 9)","PremierConnect AI"
"Look East","loom_ready","$2,500-$5,500","Send cold seq T1 w/ personalized Loom -> book (Agent 9)","PremierConnect AI"
"Oak Hill Eye Care","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Parmer Eye Care","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Bristol Family Eyecare","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Eyesite Family Vision","outreach_ready","$2,500-$5,000","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Pak Family Eye Care","outreach_ready","$5,000-$11,000","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"McCormick Vision Source","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Eye Trends","outreach_ready","$3,000-$6,500","Verify size; draft Loom, send cold T1","PremierConnect AI"
"Infinity Eyecare of Denver","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Central Denver Eye Care","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Peepers Optical","outreach_ready","$2,500-$5,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Elevated Eyecare","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Denver Eye Practice & Optical","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Envision Eyecare","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Barnes Talero EyeCare","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Elite Eyecare","outreach_ready","$2,500-$5,000","Verify domain; draft Loom, send cold T1","PremierConnect AI"
"Bellevue Eyecare Center","outreach_ready","$3,000-$6,500","Verify domain; draft Loom, send cold T1","PremierConnect AI"
"Optique Nashville","outreach_ready","$3,000-$6,500","Verify independence; draft Loom, send cold T1","PremierConnect AI"
"Music City Optical","outreach_ready","$2,500-$5,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Britton Vision","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Absolutely Optical","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Bright Eyes Family Vision Care","outreach_ready","$5,000-$11,000","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"I-Care Optical","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Mason Eye Clinic","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Charlotte Family Eye Care","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Innovative Eye Care","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Autarchic Spec Shop","outreach_ready","$2,500-$5,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Piedmont EyeCare Associates","outreach_ready","$5,000-$11,000","Verify size; draft Loom, send cold T1","PremierConnect AI"
"University Eye Associates","outreach_ready","$5,000-$11,000","Verify size/ownership; draft Loom, send cold T1","PremierConnect AI"
"Paradise Valley Eyecare","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Phoenix Eye Doctors","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Tatum Eyecare","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Central Phoenix Eye Care","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Phoenix Eye Care","outreach_ready","$3,000-$6,500","Draft Loom from pain_brief, send cold T1","PremierConnect AI"
"Pearson Eyecare Group","outreach_ready","$5,000-$11,000","Verify size; draft Loom, send cold T1","PremierConnect AI"
"Eye Care & Surgeons of Charlotte","halted","—","None — revisit only if it becomes an owner-op general practice","PremierConnect AI"
"Eye Doctors of Arizona","halted","—","None — ICP mismatch (ophthalmology surgical group)","PremierConnect AI"
"Kurt Theodore OD PA","halted","—","None — host site (Walmart) owns the phones","PremierConnect AI"
"Nashville Regional Eye Care, P.C.","halted","—","None — corporate-affiliated (National Vision)","PremierConnect AI"
"South Tampa Eye Clinic","halted","—","None — PE-backed platform (Sight360)","PremierConnect AI"
