priority,segment,firm,contact,title,linkedin,hook_summary,channel_next,status,date_sent,opened,replied,meeting,notes
1,Crypto HF,Multicoin Capital,Tushar Jain,Managing Partner,(Samani: /in/kylesamani),Kyle Samani stepped away Feb 2026; Tushar runs ops; crypto is 24/7,LinkedIn,drafted,,,,,Austin; verify current roles
1,Family Office,Capital Creek Partners,Mark Shoberg,Co-CIO/Managing Partner,not found,Already a Canoe Intelligence client (data automation) — warmest door,LinkedIn,drafted,,,,,Austin; warmest
1,Fundamental HF,Tyro Capital,Dan McMurtrie,Co-Founder/PM,/in/danmcmurtrie,II 2025 Rising Stars; lean team + deep research = perfect ICP,LinkedIn,drafted,,,,,National
1,Activist HF,Impactive Capital,Lauren Taylor Wolfe,Co-Founder/MP,/in/lauren-taylor-wolfe-43a874,Oct 2025 CNBC: called AI a bubble — contrarian agree-with-her angle,LinkedIn,drafted,,,,,National
2,Energy HF,e360 Power,James Shrewsbury,Principal & Co-CIO,/in/jamesshrewsbury,24/7 ERCOT/weather/outage signal; THFJ profile; 2020 top fund,LinkedIn,drafted,,,,,Austin
2,Vol HF,Houndstooth Capital,Lincoln Edwards,Founder,not found,~6000% 2018 Volmageddon vol trade,LinkedIn,drafted,,,,,Austin
2,Equity Mgr,YCG Investments,Brian Yacktman,Founder/CIO,/in/brian-yacktman-7182702,Concentrated book; CNBC FA100; YCGEX,LinkedIn,drafted,,,,,Austin
2,Macro/FI,Hoisington (HIMCo),Lacy Hunt,EVP & Chief Economist,/in/lacy-hunt-07504412,Q3 2025 Quarterly Review; macro data synthesis,LinkedIn,drafted,,,,,Austin
2,FI/ETF,Sage Advisory,Robert G. Smith III,President & Co-CIO,/in/robert-g-smith-iii-bb861b34,Kudu stake to fund technology — point it here,LinkedIn,drafted,,,,,Austin
2,Fundamental HF,Bireme Capital,Evan Tindell,Co-Founder/CIO,/in/evan-tindell-7b498017,Fundamental Value +33% net 2025,LinkedIn,drafted,,,,,National; verify HQ
2,Fundamental HF,Greenhaven Road Capital,Scott Miller,Founder/PM,/in/scott-miller-37060a7,Deep-research quarterly letters,LinkedIn,drafted,,,,,National
2,Activist HF,Voss Capital,Travis Cocke,Founder/CIO,/in/travis-cocke-9954648,Mar 2026 Euronet letter; Sempra/Oncor spin campaign,LinkedIn,drafted,,,,,National
2,Activist HF,Irenic Capital,Adam Katz,Co-Founder/CIO,/in/adam-katz-6329756,Ralliant stake Feb 2026; Atkore/Workiva 2025,LinkedIn,drafted,,,,,National
2,Activist HF,Politan Capital,Quentin Koffey,Founder/MP/CIO,/in/quentinkoffey,Won Masimo board control,LinkedIn,drafted,,,,,National
2,Crypto/Macro,Lekker Capital,Quinn Thompson,Founder/CIO,/in/quinnthompson,Substack + Castle Island pod; 24/7 crypto+macro,LinkedIn,drafted,,,,,National
2,Crypto HF,Pantera Liquid Token,Cosmo Jiang,PM/Head of Liquid Token,/in/cosmojiang,"""Crypto will start caring about cash flow""",LinkedIn,drafted,,,,,National
2,Macro HF,Kate Capital,Paul Podolsky,Founder/CIO,/in/paul-podolsky-285192133,New Holland anchor; just launched; ex-Bridgewater,LinkedIn,drafted,,,,,National
3,PE+Credit,Peak Rock Capital,Jung Choi,CFO & CCO,not found,Fund IV $2.5B + ~$500M credit (Sept 2025),LinkedIn,drafted,,,,,Austin
3,Growth Equity,Tritium Partners,Terry Browne,Managing Partner/COO/CCO,/in/terry-browne-b1b5903,Loxo growth (Feb 2025); Inova exit (Dec 2025),LinkedIn,drafted,,,,,Austin
3,Private Credit,AB Private Credit Investors,Brent Humphries,President,/in/brent-humphries-794b9988,$24B platform; FMF rebrand Jan 2026,LinkedIn,drafted,,,,,Austin
3,VC,S3 Ventures,Brian R. Smith,Founder/MD,/in/brian-smith-4a149a8,$250M Fund VIII + 20yr (Dec 2025),LinkedIn,drafted,,,,,Austin
3,PE,CenterGate Capital,Tiffany Kosch,Co-Founder/MP,/in/tiffany-kosch-99a7581,Marena acq (Jun 2025); Fund II $375M+,LinkedIn,drafted,,,,,Austin
3,RIA/FO,Waterloo Capital,John Chatmas,Founder/CEO,/in/john-chatmas-42420132,Element + Ironclad integrations,LinkedIn,drafted,,,,,Austin
3,Crypto HF,Arca,Jeff Dorman,CIO,/in/jeff-dorman-cfa-61063129,Mid-merger with BlockTower,LinkedIn,drafted,,,,,National
3,Macro HF,Crescat Capital,Kevin Smith,Founder/CIO,/company/crescat-capital,All 5 funds top-10 Preqin 2025,LinkedIn,drafted,,,,,National
