Urban Eyecare | Dr. David Klepfisz | (602) 288-7227 | https://urbaneyesphx.com | Phoenix | 4.9 | 578 | yes | 2 locations downtown + uptown Camelback, multiple ODs, owner-founded | https://urbaneyesphx.com/, https://reviews.birdeye.com/urban-eyecare-155756392118582 | Founded by Dr. Klepfisz, Phoenix-owned independent, rating via Birdeye aggregating Google, Dr. Dickert also on staff
Arizona's Vision Eye Care Center | Dr. Mark Page | (480) 706-3937 | https://arizonasvision.com | Phoenix | 4.9 | 592 | yes | Locally owned 25+ years, 3 ODs (Page Nguyen Sincennes), 50000+ patients | https://arizonasvision.com/, https://reviews.birdeye.com/arizonas-vision-eye-care-center-148112725936216 | Ahwatukee area, rating via Birdeye/Google, voted America's Top Optometrists
Primary Eye Care Center of Ahwatukee | Dr. Michael De Rubeis | (480) 706-2020 | https://www.primaryeyecenter.com | Phoenix | 3.3 | 73 | unknown | Since 2000, multi-generation family practice (Michael + daughter Jenna), independent | https://www.primaryeyecenter.com/, https://www.yelp.com/biz/primary-eye-care-center-of-ahwatukee-phoenix | Ahwatukee, rating via SmartReviews aggregate, mixed reviews, 2nd and 3rd gen ODs
Travis Optometry | Dr. Travis Bals | (480) 401-5913 | https://www.travisoptometry.com | Scottsdale | 5.0 | 20 | unknown | Founded 2023, single location North Scottsdale, owner-doctor, optical boutique | https://www.travisoptometry.com/, https://www.yelp.com/biz/travis-optometry-scottsdale | Newer practice under 5 yrs, rating via Yelp, Dr. Bals salutatorian SCCO 2021
Family Eyecare of Scottsdale | Dr. Armanae Mancha | (480) 419-3900 | https://familyeyecarescottsdale.com | Scottsdale | 4.9 | 641 | yes | Practice since 1975, acquired by Dr. Mancha 2020, single location, online booking | https://familyeyecarescottsdale.com/, https://reviews.birdeye.com/family-eyecare-of-scottsdale-plc-148184765215171 | Rating via Birdeye/Google, serves Scottsdale Phoenix Fountain Hills, myopia and dry eye specialties
Doctor My Eyes | Dr. Stephen Cohen | (480) 513-3937 | https://www.doctormyeyes.net | Scottsdale | NOT_FOUND | 91 | unknown | Dr. Cohen practicing since 1985, single location, multiple ODs (Cohen + Amanda) | https://www.doctormyeyes.net/, https://www.yelp.com/biz/doctor-my-eyes-scottsdale-3 | Review count via Yelp (91 reviews) star number not clearly visible, ranked top AZ optometrist 2014
Eyecare Plus Scottsdale | Dr. Maury Kessler | (480) 947-4349 | https://www.eyecareplusaz.com | Scottsdale | 4.9 | 305 | unknown | Established 1996 by Dr. Kessler, single location, contact lens specialist | https://www.eyecareplusaz.com/, https://reviews.birdeye.com/eyecare-plus-scottsdale-148184762478991 | Rating via Google (305), Birdeye shows 581, family eye care, walk-ins welcome
Eye Care of Scottsdale - Matthew Fierro O.D. and Associates | Dr. Matthew Fierro | (480) 378-9555 | https://www.eyecareofscottsdaleaz.com | Scottsdale | NOT_FOUND | NOT_FOUND | unknown | Independent practice located in Costco building, Dr. Fierro and associates | https://www.eyecareofscottsdaleaz.com/, https://www.yelp.com/biz/eye-care-of-scottsdale-matthew-fierro-o-d-and-associates-scottsdale | Rating not clearly visible on sources visited, eye exams contacts retinal photos
Tempe Eyecare Associates | Dr. John N. Chrisagis | (480) 967-4910 | https://www.tempeeyecareassociates.com | Tempe | 4.7 | 249 | yes | Established 1989, single location, Dr. Chrisagis 35+ years, multiple staff | https://www.tempeeyecareassociates.com/, https://reviews.birdeye.com/tempe-eyecare-associates-148169771542734 | Rating via Birdeye/Google, online booking via Solutionreach and Zocdoc
Lakeshore Optical | Dr. John Castro | (480) 839-3711 | https://www.lakeshoreoptical.com | Tempe | NOT_FOUND | 21 | yes | Established 1978, independently owned, 45+ years, optical-focused | https://www.lakeshoreoptical.com/, https://www.yelp.com/biz/lakeshore-optical-tempe | Review count via Yelp (21), Book option on website, Best of Business Tempe optometrists
Optical Intuitions | Dr. Amanda Misinco | (480) 785-4804 | https://visionsource-tempe.com | Tempe | 5.0 | 13 | unknown | Dr. Misinco practicing since 2009, single location, Vision Source member | https://visionsource-tempe.com/, https://www.zocdoc.com/doctor/amanda-misinco-od-50376 | Rating via Zocdoc (13 reviews), appointment request online, graduate SCCO
Akers Pearson Eyecare | Dr. Frank Akers | (480) 372-8950 | https://www.akerspearsoneyecare.com | Mesa | 4.3 | 171 | yes | Multiple ODs (Akers Pearson Hagstrom +), decades serving Mesa families | https://www.akerspearsoneyecare.com/, https://www.zocdoc.com/practice/akers-pearson-eyecare-149478 | Rating via Pearson Eyecare Group aggregate, online booking via Zocdoc
Oasis Vision Center | Dr. Marci Pieper | (480) 892-6560 | https://www.oasisvisioncenter.com | Mesa | 3.88 | 75 | yes | Multiple ODs (Pieper Daet Ng Petrauskaite), full-service, single location | https://www.oasisvisioncenter.com/, https://www.yelp.com/biz/oasis-vision-center-mesa-2 | Rating via Optix-now aggregate, online scheduling on website, specialty contacts and surgical co-mgmt
Chandler Eyecare | Dr. Van Over | (480) 963-7172 | https://chandlereye.com | Chandler | 4.5 | 145 | unknown | Serving Chandler since 1970, single location, multiple staff | https://chandlereye.com/, https://reviews.birdeye.com/chandler-eyecare-148197011252336 | Rating via Birdeye, long-established independent, Dr. Van Over among ODs
Ocotillo Eyecare | Dr. Powell | (480) 812-3937 | https://www.ocotilloeyecare.com | Chandler | 4.6 | 221 | yes | Established 2006, Dr. Powell owner 25+ yrs, multiple ODs, single location | https://www.ocotilloeyecare.com/, https://reviews.birdeye.com/ocotillo-eyecare-148197004325085 | Rating via Birdeye, 400+ 5-star Google reviews claimed, online scheduling on site
Insight Eyecare and Eyewear | Dr. Katerina Dasen | (480) 613-8220 | https://www.insightoneyes.com | Chandler | NOT_FOUND | 51 | yes | Multiple ODs (Dasen Nguyen +), full-scope eye care, single location | https://www.insightoneyes.com/, https://www.zocdoc.com/practice/insight-eyecare-and-eyewear-149494 | Review count via Yelp (51), online booking via Zocdoc, 400+ 5-star Google claimed
Desert Family Eye Care | Dr. Destin Whipple | (480) 821-2020 | https://desertfamilyeyes.com | Chandler | NOT_FOUND | 12 | unknown | Owner-doctor Dr. Whipple, single location, comprehensive family eye care | https://desertfamilyeyes.com/, https://www.yelp.com/biz/desert-family-eye-care-chandler-2 | Review count via Yelp (12), rating not clearly visible, exams contacts LASIK consults
Wagner EyeCare Associates | Dr. Paul Wagner | (480) 838-4044 | https://www.wagnereyecareaz.com | Chandler | 4.9 | 407 | yes | Owner Dr. Wagner, multiple ODs (Nix Sherlock Berry +), single location | https://www.wagnereyecareaz.com/, https://www.zocdoc.com/practice/wagner-eyecare-associates-143450 | Rating via Google (407 reviews), online booking via Zocdoc
Family Tree Eye Care | Dr. Alma David Yamamoto | (480) 219-5175 | https://www.familytreeeyecare.com | Gilbert | NOT_FOUND | 29 | unknown | Owner-optometrist, single location, myopia control and specialty contacts | https://www.familytreeeyecare.com/, https://www.yelp.com/biz/family-tree-eye-care-gilbert-3 | Review count via Yelp (29), rating not clearly visible, Orthokeratology
Gilbert Family Eye Center | Dr. Richard E. Wood | (480) 279-4400 | https://www.gfeyecenter.com | Gilbert | 4.7 | 236 | yes | Dr. Wood since 2006, single location, full-service eye care | https://www.gfeyecenter.com/, https://reviews.birdeye.com/gilbert-family-eye-center-155742647183795 | Rating via Birdeye/Google, schedule online on website, NECO grad with distinction
