target,city_state,metro,website,decision_maker,dm_title,contact_path,size_signal,public_pain_signal,score,warm_or_cold,best_channel,pain_monthly_est,pain_summary,ai_fix,status,source_url
"Round Rock Eyes","Round Rock, TX","Austin","roundrockeyes.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Independent, single-location, family — not a chain","Family practice = high call volume; likely phone-only booking",90,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://roundrockeyes.com/"
"Oak Hill Eye Care","Austin, TX (Oak Hill)","Austin","oakhilleyecare.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Family-owned & operated, single location","Family-owned; sees ages 4+, recall-driven",89,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.oakhilleyecare.com/"
"Parmer Eye Care","Austin, TX","Austin","parmereyecare.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Locally owned single clinic","Locally owned; all ages",88,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.parmereyecare.com/"
"Bristol Family Eyecare","Austin, TX","Austin","bristolfamilyeyecare.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Family practice, Austin metro","Family eye care = recall + high call volume",87,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.bristolfamilyeyecare.com/"
"Eyesite Family Vision","Austin, TX","Austin","yelp.com/biz/eyesite-family-vision-austin","Owner OD [verify]","Owner / Optometrist","Website / main line (see listing)","Single location, value-priced","Affordable-positioned, single site",85,"cold","Loom email + phone","$2,500-$5,000 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.yelp.com/biz/eyesite-family-vision-austin"
"Pak Family Eye Care","Austin / Cedar Park / Kyle, TX","Austin","pakfamilyeyecare.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Small group, multi-area","Multi-area = call routing pain across sites",84,"cold","Loom email + phone","$5,000-$11,000 (est.)","Missed inbound calls across multiple sites -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.pakfamilyeyecare.com/"
"McCormick Vision Source","Austin, TX","Austin","mccormickvision.com","Dr. John McCormick (+ Dr. Michael McCormick)","Owner / Optometrist","Website contact form / main line (see site)","Independent (Vision Source network), est. 1989, 2 ODs","Established, 2-OD independent",82,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.mccormickvision.com/our-optometry-clinic/"
"Eye Trends","Austin, TX (Pond Springs)","Austin","eyetrendsaustin.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Local independent (verify multi-site)","Local independent; verify size",80,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://www.eyetrendsaustin.com/"
"True Eye Care","Denver, CO (Jefferson Park)","Denver","trueeyecareco.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Independent locally owned, single location, boutique","Boutique single-OD; whole-family, recall-driven",90,"cold","Loom email + phone","$2,500-$5,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://trueeyecareco.com/"
"Infinity Eyecare of Denver","Denver, CO","Denver","infinityeyecareofdenver.com","Owner OD [verify]","Owner / Optometrist","Website contact form / main line (see site)","Family-run private, single location","Family-run; all ages",88,"cold","Loom email + phone","$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days","PROCEED","https://infinityeyecareofdenver.com/"
